imbalance_ratio,model,accuracy,precision,recall,f1
1:5,Logistic Regression,0.7413793103448276,0.7431752873563219,0.7413793103448276,0.7133119486768243
1:5,Random Forest,0.7327586206896551,0.7401807117831458,0.7327586206896551,0.6964030766571601
1:5,SVM,0.7155172413793104,0.7438722197342887,0.7155172413793104,0.6574249436867526
1:5,Reweighting (Ours),0.7586206896551724,0.7540229885057471,0.7586206896551724,0.7553632090837172
1:10,Logistic Regression,0.6982758620689655,0.7213091273677803,0.6982758620689655,0.6283883819214514
1:10,Random Forest,0.6810344827586207,0.7185461323392358,0.6810344827586207,0.5868420513450939
1:10,SVM,0.6551724137931034,0.42925089179548154,0.6551724137931034,0.5186781609195402
1:10,Reweighting (Ours),0.7758620689655172,0.7704228243021347,0.7758620689655172,0.7690134099616858
1:20,Logistic Regression,0.6896551724137931,0.789408866995074,0.6896551724137931,0.5924097912359102
1:20,Random Forest,0.646551724137931,0.5439934899806734,0.646551724137931,0.5290835571509188
1:20,SVM,0.6551724137931034,0.42925089179548154,0.6551724137931034,0.5186781609195402
1:20,Reweighting (Ours),0.7413793103448276,0.7362547892720306,0.7413793103448276,0.737889152589697
